03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,14%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.25C SOC2@46.656C SOC0@44.593C CV1@-256C GPU@47.5C tj@47.5C SOC1@47.562C CV2@-256C VDD_IN 5852mW/6245mW VDD_CPU_GPU_CV 1742mW/1844mW VDD_SOC 1541mW/1783mW
03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.312C SOC2@46.656C SOC0@44.687C CV1@-256C GPU@47.281C tj@47.312C SOC1@47.25C CV2@-256C VDD_IN 5852mW/6232mW VDD_CPU_GPU_CV 1742mW/1841mW VDD_SOC 1541mW/1775mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [28%@1510,16%@1510,71%@1510,20%@1510,50%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 84%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.187C SOC2@46.75C SOC0@44.656C CV1@-256C GPU@47.687C tj@47.687C SOC1@47.375C CV2@-256C VDD_IN 5883mW/6221mW VDD_CPU_GPU_CV 1782mW/1839mW VDD_SOC 1541mW/1768mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,100%@1510,0%@1510,0%@1510,14%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.187C SOC2@46.687C SOC0@44.531C CV1@-256C GPU@47.375C tj@47.375C SOC1@47.375C CV2@-256C VDD_IN 5892mW/6211mW VDD_CPU_GPU_CV 1782mW/1837mW VDD_SOC 1541mW/1761mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.5C SOC2@46.656C SOC0@44.625C CV1@-256C GPU@47.187C tj@47.5C SOC1@47.281C CV2@-256C VDD_IN 5892mW/6202mW VDD_CPU_GPU_CV 1782mW/1835mW VDD_SOC 1541mW/1754mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,85%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.031C SOC2@46.656C SOC0@44.625C CV1@-256C GPU@47.218C tj@47.281C SOC1@47.281C CV2@-256C VDD_IN 5892mW/6193mW VDD_CPU_GPU_CV 1782mW/1834mW VDD_SOC 1501mW/1747mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.093C SOC2@46.625C SOC0@44.812C CV1@-256C GPU@47.531C tj@47.531C SOC1@47.343C CV2@-256C VDD_IN 5852mW/6183mW VDD_CPU_GPU_CV 1782mW/1832mW VDD_SOC 1501mW/1740mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,83%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.75C SOC0@44.625C CV1@-256C GPU@47.281C tj@47.5C SOC1@47.5C CV2@-256C VDD_IN 5852mW/6174mW VDD_CPU_GPU_CV 1782mW/1831mW VDD_SOC 1501mW/1734mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1368,0%@1510,100%@1510,0%@1510,14%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@46.656C SOC0@44.687C CV1@-256C GPU@47.656C tj@47.656C SOC1@47.25C CV2@-256C VDD_IN 5852mW/6166mW VDD_CPU_GPU_CV 1782mW/1830mW VDD_SOC 1501mW/1728mW
03-04-2026 13:27:12 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,100%@1510,0%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.062C SOC2@46.562C SOC0@44.75C CV1@-256C GPU@47.312C tj@47.312C SOC1@47.281C CV2@-256C VDD_IN 5852mW/6158mW VDD_CPU_GPU_CV 1782mW/1828mW VDD_SOC 1501mW/1722mW
