model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-LSTM,int8,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,11.3295,10.7007,8971.3708,0.1115,5506.5,1623.0,58.9234
GRU,fp16,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,6.8619,6.8251,146.5184,6.8251,4934.54,1511.83,33.6787
GRU,fp32,1,0.002467,0.016883,0.002367,0.002393,0.002231,0.002603,0.002194,0.002673,0.002706,0.003684,0.002506,0.001456,0.002041,0.002679,0.001859,6.8616,6.8139,146.7589,6.8139,4930.94,1501.51,33.5989
GRU,int8,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,6.8686,6.8261,146.497,6.8261,4927.4,1508.94,33.6349
GRU,fp16,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,7.9168,7.55,4238.4282,0.2359,5059.5,1561.5,38.1992
GRU,fp32,32,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,9.6276,9.5767,3341.4279,0.2993,5289.5,1623.0,50.656
GRU,int8,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,7.5614,7.532,4248.5644,0.2354,5110.0,1582.0,38.4885
GRU,fp16,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,11.3284,10.8103,8880.4134,0.1126,5384.5,1643.0,58.2081
GRU,fp32,96,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,13.2215,12.7487,7530.1896,0.1328,5745.5,1724.0,73.2477
GRU,int8,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,11.5596,10.7304,8946.5109,0.1118,5465.5,1663.0,58.647
LSTM,fp16,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,6.6136,6.5541,152.5772,6.5541,4950.71,1518.17,32.4474
LSTM,fp32,1,0.004375,0.03551,0.002957,0.003024,0.002257,0.005015,0.002897,0.004435,0.00423,0.008734,0.006795,0.00168,0.002645,0.003507,0.003189,6.6092,6.5532,152.5979,6.5532,4946.4,1508.93,32.4147
LSTM,int8,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,6.6068,6.5413,152.8746,6.5413,4943.29,1506.39,32.3355
LSTM,fp16,32,0.004312,0.037848,0.002594,0.002801,0.002746,0.003888,0.002463,0.004413,0.004058,0.008911,0.006803,0.002369,0.002452,0.003209,0.003856,8.5296,8.5178,3756.8367,0.2662,5039.0,1541.0,42.9212
LSTM,fp32,32,0.004463,0.034946,0.003084,0.00312,0.002281,0.005208,0.003031,0.004489,0.004334,0.009022,0.006756,0.001649,0.002757,0.003516,0.003087,9.0415,9.0032,3554.2839,0.2814,5193.2,1582.0,46.7554
LSTM,int8,32,0.004312,0.037848,0.002594,0.002801,0.002746,0.003888,0.002463,0.004413,0.004058,0.008911,0.006803,0.002369,0.002452,0.003209,0.003856,8.5827,8.5459,3744.5028,0.2671,5039.0,1541.0,43.0628
LSTM,fp16,96,0.00432,0.037848,0.002588,0.002832,0.002703,0.003916,0.002456,0.004494,0.004055,0.008872,0.00681,0.002371,0.002512,0.003279,0.003843,10.9901,10.2102,9402.3591,0.1064,5323.0,1582.0,54.3489
LSTM,fp32,96,0.004463,0.034946,0.003084,0.00312,0.002282,0.005207,0.003032,0.004489,0.004333,0.009022,0.006756,0.001649,0.002757,0.003516,0.003087,12.7073,12.2428,7841.3617,0.1275,5668.5,1663.0,69.3983
LSTM,int8,96,0.00432,0.037848,0.002588,0.002832,0.002703,0.003916,0.002456,0.004494,0.004055,0.008872,0.00681,0.002371,0.002512,0.003279,0.003843,10.7782,10.205,9407.1649,0.1063,5445.0,1623.0,55.5662
TCN,fp16,1,0.019647,0.150868,0.016316,0.014344,0.013247,0.015975,0.016668,0.018475,0.025284,0.022792,0.035052,0.015174,0.012929,0.017416,0.020206,0.2835,0.2602,3842.6404,0.2602,5160.8,1573.8,1.3428
TCN,fp32,1,0.021505,0.156046,0.018502,0.016313,0.014843,0.018524,0.018941,0.018898,0.026815,0.026275,0.036459,0.0169,0.014752,0.01902,0.022816,0.2821,0.257,3890.4314,0.257,4990.0,1541.0,1.2824
TCN,int8,1,0.024036,0.167582,0.019461,0.018316,0.016684,0.022554,0.019079,0.02202,0.028213,0.035989,0.038216,0.018061,0.016379,0.022498,0.022536,0.2793,0.2541,3935.3382,0.2541,4933.4,1533.0,1.2536
TCN,fp16,32,0.019662,0.150917,0.01633,0.014355,0.013264,0.015997,0.016685,0.018482,0.0253,0.022818,0.03507,0.015189,0.012939,0.017421,0.02022,0.4517,0.4229,75669.1852,0.0132,,,
TCN,fp32,32,0.021523,0.156012,0.018512,0.016328,0.014861,0.018548,0.018964,0.0189,0.026833,0.026296,0.036481,0.016916,0.014765,0.019045,0.022844,0.5252,0.5301,60364.6711,0.0166,,,
TCN,int8,32,0.019662,0.150917,0.01633,0.014355,0.013264,0.015997,0.016685,0.018482,0.0253,0.022818,0.03507,0.015189,0.012939,0.017421,0.02022,0.7701,0.442,72393.1485,0.0138,,,
TCN,fp16,96,0.019667,0.151321,0.016366,0.01437,0.013261,0.016073,0.01663,0.018515,0.025273,0.022872,0.035087,0.015114,0.012916,0.017391,0.020243,1.4366,1.1003,87252.178,0.0115,,,
TCN,fp32,96,0.021523,0.156012,0.018512,0.016328,0.014861,0.018548,0.018964,0.0189,0.026833,0.026296,0.036481,0.016916,0.014765,0.019045,0.022844,1.843,1.496,64172.0565,0.0156,,,
TCN,int8,96,0.02417,0.153664,0.01744,0.016582,0.017895,0.018863,0.01821,0.027312,0.031563,0.030837,0.042079,0.019395,0.016705,0.023444,0.018407,1.4516,1.0755,89258.5737,0.0112,,,
